Title,Location,Company,Salary,Sponsored,Description
Junior Data Scientist/ta,"Gurgaon, Haryana",WSD Consultant,"₹7,00,000 - ₹15,00,000 a year",Organic,"1 - 5 Years
Gurgaon, Bangalore, Mumbai, Pune, Chennai, Hyderabad


Job Description
candidate should qualify checklist written below:

Ques: Does the candidate has strong knowledge in Data Science/ Machine Learning/ Artificial Intelligence ? Please mention

Ques: Is the candidate willing to work full time as a Data Science program Manager/ Academic and content delivery/ End to End Curriculam delivery and management ?

Ques: Does the candidate has Data Science/ Machine learning content development and academic delivery experience/ Faculty Development programs in any Teaching Institution or E - Learning Companies?


Job Specifications

Exp. 1.0 - 5.0 Year(s)
Annual Fixed CTC Min : 7.0 Lacs Max: 15.0 Lacs
Qualification B.Tech/B.E. , Any Post Graduation
No of openings 3
Additional Doc/Msg
Salary
7 Lac To 15 Lac P.A.

Industry
IT Software - Application Programming / Maintenance

Work Experience
1 - 5 Years

Qualification
Other Bachelor Degree, MD/Medicinae Doctor, Other Doctorate Degree



Key Skills
Data Scientist

Company Profile
Company Name
Great Learning


About Company
Great Learning is an online and hybrid learning company that offers high-quality, impactful, and industry-relevant learning programs to working professionals. These programs help them master data-driven decision-making regardless of the sector or function they work in and secure their career growth into the future. These programs are delivered through a convenient and robust technology-enabled experience with no disruption to their careers.

Contact Person
Pramod Kumar

Address
Gurgaon

Mobile
8506010400

Email ID
jobwsd@gmail.com"
ML/ Big Data Engineer,"Hyderabad, Telangana",SkyeITS Solutions Pvt Ltd,"₹10,00,000 - ₹15,00,000 a year",Organic,"Job Description/ Responsibilities:
The ideal candidate must have at least 5 years of experience as Big Data Engineer with development experience using Machine Learning to help us extract value from our data. Passionate about artificial intelligence and stay up-to-date with the latest developments in the field
Lead all the processes from data collection, cleaning, and preprocessing, to training models and deploying them to production
Understanding business objectives and developing models that help to achieve them, along with metrics to track their progress
Managing available resources such as hardware, data, and personnel so that deadlines are met
Analyzing the ML algorithms that could be used to solve a given problem and ranking them by their success probability
Exploring and visualizing data to gain an understanding of it, then identifying differences in data distribution that could affect performance when deploying the model in the real world
Verifying data quality, and/or ensuring it via data cleaning
Supervising the data acquisition process if more data is needed
Finding available datasets online that could be used for training
Defining validation strategies
Defining the preprocessing or feature engineering to be done on a given dataset
Defining data augmentation pipelines
Training models and tuning their hyperparameters
Analyzing the errors of the model and designing strategies to overcome them
Deploying models to production
Educational Qualifications:
This position requires a bachelor’s degree in Computer Science or Computer Information Systems and aforesaid experience
Proficiency with a deep learning framework such as TensorFlow or Keras
Proficiency with Python and basic libraries for machine learning such as scikit-learn and pandas
Expertise in visualizing and manipulating big datasets
Proficiency with OpenCV and familiarity with Linux
Ability to select hardware to run an ML model with the required latency
Proficiency with Apache Spark, Apache Parquet, Apache Kafka, Spark Stream and other big data technologies like Pig, Hive, Map Reduce, Sqoop
Self-motivated with a willingness to learn with strong sense of accountability and proven track record of delivering desired results
Strong interpersonal skills including mentoring, coaching, collaborating, and team building. Strong analytical, planning, and organizational skills with an ability to efficiently communicate and manage competing demands
Ability to multi-task, work under pressure, meet deadlines and thrive in a fast-paced very demanding start-up environment
Ready to work across multiple global time zones
Job Type: Contract
Salary: ₹1,000,000.00 - ₹1,500,000.00 per year
Experience:
work: 1 year (Preferred)
Big Data: 5 years (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Talent Acquisition specialist,"Hyderabad, Telangana",WAVELABS TECHNOLOGIES,None,Organic,"Job Description/ Responsibilities:
The ideal candidate must have at least 5 years of experience as Big Data Engineer with development experience using Machine Learning to help us extract value from our data. Passionate about artificial intelligence and stay up-to-date with the latest developments in the field
Lead all the processes from data collection, cleaning, and preprocessing, to training models and deploying them to production
Understanding business objectives and developing models that help to achieve them, along with metrics to track their progress
Managing available resources such as hardware, data, and personnel so that deadlines are met
Analyzing the ML algorithms that could be used to solve a given problem and ranking them by their success probability
Exploring and visualizing data to gain an understanding of it, then identifying differences in data distribution that could affect performance when deploying the model in the real world
Verifying data quality, and/or ensuring it via data cleaning
Supervising the data acquisition process if more data is needed
Finding available datasets online that could be used for training
Defining validation strategies
Defining the preprocessing or feature engineering to be done on a given dataset
Defining data augmentation pipelines
Training models and tuning their hyperparameters
Analyzing the errors of the model and designing strategies to overcome them
Deploying models to production
Educational Qualifications:
This position requires a bachelor’s degree in Computer Science or Computer Information Systems and aforesaid experience
Proficiency with a deep learning framework such as TensorFlow or Keras
Proficiency with Python and basic libraries for machine learning such as scikit-learn and pandas
Expertise in visualizing and manipulating big datasets
Proficiency with OpenCV and familiarity with Linux
Ability to select hardware to run an ML model with the required latency
Proficiency with Apache Spark, Apache Parquet, Apache Kafka, Spark Stream and other big data technologies like Pig, Hive, Map Reduce, Sqoop
Self-motivated with a willingness to learn with strong sense of accountability and proven track record of delivering desired results
Strong interpersonal skills including mentoring, coaching, collaborating, and team building. Strong analytical, planning, and organizational skills with an ability to efficiently communicate and manage competing demands
Ability to multi-task, work under pressure, meet deadlines and thrive in a fast-paced very demanding start-up environment
Ready to work across multiple global time zones
Job Type: Contract
Salary: ₹1,000,000.00 - ₹1,500,000.00 per year
Experience:
work: 1 year (Preferred)
Big Data: 5 years (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Artificial Intelligence Specialists,"Pune, Maharashtra",Careerera,"₹4,00,000 - ₹6,00,000 a year",Organic,"Experience 2- 4 Years
Salary 4 LPA - 6 LPA
Job Location Pune
Industry:
IT-Software / Software Services
Keywords:
Artificial Intelligence
About Job:
Must have Excellent knowledge in AI / Machine learning (Mandatory).
Machine learning frameworks like keras, tensor flow etc.
And also other big data tools like Hadoop etc, Must know R and python.
Good understanding in SDLC & Business cycle."
Data Scientist - Machine Learning/Artificial Intelligence/ P...,"Bengaluru, Karnataka",Careerera,"₹8,00,000 - ₹16,00,000 a year",Organic,"Experience 4 - 10 Years
Salary 8 LPA - 16 LPA
Job Location Bengaluru
Industry:
IT-Software / Software Services
Keywords:
Data Scientist
About Job:
Core Responsibility :

Strong experience in delivering projects in using Python.

Strong experience in developing models using Image Processing and Computer Vision algorithms

Designing, developing, and deploying deep learning models on AWS environment.

Experience and Skills :

- 4 - 6 years- experience in Designing and Deploying Deep Learning Solutions

Excellent knowledge of Deep Learning Architectures/Convolutional Neural Networks

Excellent knowledge of Supervised Learning, Adversarial Learning

Excellent Python Coding Skills with at least 4 years of Python coding

Robust working knowledge with deep learning frameworks (like Tensorflow, Keras, PyTorch)

Hands on experience on Image Processing and Computer Vision algorithms

Experience with GPU/CUDA programming

Deep knowledge of mathematics, probability, statistics and algorithms

Understanding of data structures, data modelling and software architecture

Excellent communication skills

Ability to work in a team

Outstanding analytical and problem-solving skills

Must Have :

Aware of the Software Development Life Cycle and Quality concepts

Excellent experience in Python programming language for data analysis.

Excellent verbal and written communications skills; Strong interpersonal skills

Managing available resources such as cloud services, data

Good to Have :

Experience with System Development Life Cycle methodologies (CMMI)"
Data Scientist-Artificial Intelligence,"Mumbai, Maharashtra",legalbabu corporate services pvt ltd,None,Organic,"Experience 4 - 10 Years
Salary 8 LPA - 16 LPA
Job Location Bengaluru
Industry:
IT-Software / Software Services
Keywords:
Data Scientist
About Job:
Core Responsibility :

Strong experience in delivering projects in using Python.

Strong experience in developing models using Image Processing and Computer Vision algorithms

Designing, developing, and deploying deep learning models on AWS environment.

Experience and Skills :

- 4 - 6 years- experience in Designing and Deploying Deep Learning Solutions

Excellent knowledge of Deep Learning Architectures/Convolutional Neural Networks

Excellent knowledge of Supervised Learning, Adversarial Learning

Excellent Python Coding Skills with at least 4 years of Python coding

Robust working knowledge with deep learning frameworks (like Tensorflow, Keras, PyTorch)

Hands on experience on Image Processing and Computer Vision algorithms

Experience with GPU/CUDA programming

Deep knowledge of mathematics, probability, statistics and algorithms

Understanding of data structures, data modelling and software architecture

Excellent communication skills

Ability to work in a team

Outstanding analytical and problem-solving skills

Must Have :

Aware of the Software Development Life Cycle and Quality concepts

Excellent experience in Python programming language for data analysis.

Excellent verbal and written communications skills; Strong interpersonal skills

Managing available resources such as cloud services, data

Good to Have :

Experience with System Development Life Cycle methodologies (CMMI)"
"Public Policy Director, India - Data Economy and Emerging Te...","Gurgaon, Haryana",Facebook,None,Organic,"Experience 4 - 10 Years
Salary 8 LPA - 16 LPA
Job Location Bengaluru
Industry:
IT-Software / Software Services
Keywords:
Data Scientist
About Job:
Core Responsibility :

Strong experience in delivering projects in using Python.

Strong experience in developing models using Image Processing and Computer Vision algorithms

Designing, developing, and deploying deep learning models on AWS environment.

Experience and Skills :

- 4 - 6 years- experience in Designing and Deploying Deep Learning Solutions

Excellent knowledge of Deep Learning Architectures/Convolutional Neural Networks

Excellent knowledge of Supervised Learning, Adversarial Learning

Excellent Python Coding Skills with at least 4 years of Python coding

Robust working knowledge with deep learning frameworks (like Tensorflow, Keras, PyTorch)

Hands on experience on Image Processing and Computer Vision algorithms

Experience with GPU/CUDA programming

Deep knowledge of mathematics, probability, statistics and algorithms

Understanding of data structures, data modelling and software architecture

Excellent communication skills

Ability to work in a team

Outstanding analytical and problem-solving skills

Must Have :

Aware of the Software Development Life Cycle and Quality concepts

Excellent experience in Python programming language for data analysis.

Excellent verbal and written communications skills; Strong interpersonal skills

Managing available resources such as cloud services, data

Good to Have :

Experience with System Development Life Cycle methodologies (CMMI)"
Artificial Intelligence and Machine learning Trainer,"Badarpur, Delhi",Digital School of Delhi,None,Organic,null
Artificial Intelligence Engineer,"Bengaluru, Karnataka",Swiss Base Company,"₹8,00,000 - ₹10,00,000 a year",Organic,"Experience and Strong Understanding of Computer Vision and Image Processing is a Must.
hands On Experience On Medical Image Analysis is An Added Advantage.
very Strong Knowledge in Mathematics, Statistics and Probability (multivariate Calculus, Vector Spaces and Random Variables, Algebraic Probability Distribution)
hands On Experience in Building Ai Applications Using Deep Learning or Machine Learning Technqiues
hands On Experience in Python
unerstanding of Scikit-learn, Numpy, Pandas, Spacy, Gensim, Nltk
hands On Experience in Pytorch or Tensorflow
good Knowledge in Various Feature Engineering Tecnhqiues like Tf-idf, Cbow, Word Embeddings
good Understanding of fine Tuning the Network Models.
good Understanding of Supervised/unsupervised Learning.
knowledge of Reinforcement Learning is a Plus.
good Understanding of Machine Learing Algorithms like Svm, Knn, Random Forests, Regression and Clustering Methods."
Data Scientist,"Noida, Uttar Pradesh",Gauge Data Solutions,None,Organic,"Experience and Strong Understanding of Computer Vision and Image Processing is a Must.
hands On Experience On Medical Image Analysis is An Added Advantage.
very Strong Knowledge in Mathematics, Statistics and Probability (multivariate Calculus, Vector Spaces and Random Variables, Algebraic Probability Distribution)
hands On Experience in Building Ai Applications Using Deep Learning or Machine Learning Technqiues
hands On Experience in Python
unerstanding of Scikit-learn, Numpy, Pandas, Spacy, Gensim, Nltk
hands On Experience in Pytorch or Tensorflow
good Knowledge in Various Feature Engineering Tecnhqiues like Tf-idf, Cbow, Word Embeddings
good Understanding of fine Tuning the Network Models.
good Understanding of Supervised/unsupervised Learning.
knowledge of Reinforcement Learning is a Plus.
good Understanding of Machine Learing Algorithms like Svm, Knn, Random Forests, Regression and Clustering Methods."
Artificial Intelligence / Machine Learning Engineer,"Pune, Maharashtra",Healthcoco Technologies,None,Organic,"Experience and Strong Understanding of Computer Vision and Image Processing is a Must.
hands On Experience On Medical Image Analysis is An Added Advantage.
very Strong Knowledge in Mathematics, Statistics and Probability (multivariate Calculus, Vector Spaces and Random Variables, Algebraic Probability Distribution)
hands On Experience in Building Ai Applications Using Deep Learning or Machine Learning Technqiues
hands On Experience in Python
unerstanding of Scikit-learn, Numpy, Pandas, Spacy, Gensim, Nltk
hands On Experience in Pytorch or Tensorflow
good Knowledge in Various Feature Engineering Tecnhqiues like Tf-idf, Cbow, Word Embeddings
good Understanding of fine Tuning the Network Models.
good Understanding of Supervised/unsupervised Learning.
knowledge of Reinforcement Learning is a Plus.
good Understanding of Machine Learing Algorithms like Svm, Knn, Random Forests, Regression and Clustering Methods."
Analyst - Reference data,"Bengaluru, Karnataka",Société Générale,None,Organic,"Experience and Strong Understanding of Computer Vision and Image Processing is a Must.
hands On Experience On Medical Image Analysis is An Added Advantage.
very Strong Knowledge in Mathematics, Statistics and Probability (multivariate Calculus, Vector Spaces and Random Variables, Algebraic Probability Distribution)
hands On Experience in Building Ai Applications Using Deep Learning or Machine Learning Technqiues
hands On Experience in Python
unerstanding of Scikit-learn, Numpy, Pandas, Spacy, Gensim, Nltk
hands On Experience in Pytorch or Tensorflow
good Knowledge in Various Feature Engineering Tecnhqiues like Tf-idf, Cbow, Word Embeddings
good Understanding of fine Tuning the Network Models.
good Understanding of Supervised/unsupervised Learning.
knowledge of Reinforcement Learning is a Plus.
good Understanding of Machine Learing Algorithms like Svm, Knn, Random Forests, Regression and Clustering Methods."
Data Scientist,"Jamshedpur, Jharkhand",Imurgence,None,Organic,"Experience and Strong Understanding of Computer Vision and Image Processing is a Must.
hands On Experience On Medical Image Analysis is An Added Advantage.
very Strong Knowledge in Mathematics, Statistics and Probability (multivariate Calculus, Vector Spaces and Random Variables, Algebraic Probability Distribution)
hands On Experience in Building Ai Applications Using Deep Learning or Machine Learning Technqiues
hands On Experience in Python
unerstanding of Scikit-learn, Numpy, Pandas, Spacy, Gensim, Nltk
hands On Experience in Pytorch or Tensorflow
good Knowledge in Various Feature Engineering Tecnhqiues like Tf-idf, Cbow, Word Embeddings
good Understanding of fine Tuning the Network Models.
good Understanding of Supervised/unsupervised Learning.
knowledge of Reinforcement Learning is a Plus.
good Understanding of Machine Learing Algorithms like Svm, Knn, Random Forests, Regression and Clustering Methods."
Data scientist web crawler,"Hyderabad, Telangana",Novartis,None,Organic,"Experience and Strong Understanding of Computer Vision and Image Processing is a Must.
hands On Experience On Medical Image Analysis is An Added Advantage.
very Strong Knowledge in Mathematics, Statistics and Probability (multivariate Calculus, Vector Spaces and Random Variables, Algebraic Probability Distribution)
hands On Experience in Building Ai Applications Using Deep Learning or Machine Learning Technqiues
hands On Experience in Python
unerstanding of Scikit-learn, Numpy, Pandas, Spacy, Gensim, Nltk
hands On Experience in Pytorch or Tensorflow
good Knowledge in Various Feature Engineering Tecnhqiues like Tf-idf, Cbow, Word Embeddings
good Understanding of fine Tuning the Network Models.
good Understanding of Supervised/unsupervised Learning.
knowledge of Reinforcement Learning is a Plus.
good Understanding of Machine Learing Algorithms like Svm, Knn, Random Forests, Regression and Clustering Methods."
"Director, Compilers for Deep Learning","Bengaluru, Karnataka",Intel,None,Organic,"Experience and Strong Understanding of Computer Vision and Image Processing is a Must.
hands On Experience On Medical Image Analysis is An Added Advantage.
very Strong Knowledge in Mathematics, Statistics and Probability (multivariate Calculus, Vector Spaces and Random Variables, Algebraic Probability Distribution)
hands On Experience in Building Ai Applications Using Deep Learning or Machine Learning Technqiues
hands On Experience in Python
unerstanding of Scikit-learn, Numpy, Pandas, Spacy, Gensim, Nltk
hands On Experience in Pytorch or Tensorflow
good Knowledge in Various Feature Engineering Tecnhqiues like Tf-idf, Cbow, Word Embeddings
good Understanding of fine Tuning the Network Models.
good Understanding of Supervised/unsupervised Learning.
knowledge of Reinforcement Learning is a Plus.
good Understanding of Machine Learing Algorithms like Svm, Knn, Random Forests, Regression and Clustering Methods."
Python Developer,"Pune, Maharashtra",Silicus,None,Organic,"Experience and Strong Understanding of Computer Vision and Image Processing is a Must.
hands On Experience On Medical Image Analysis is An Added Advantage.
very Strong Knowledge in Mathematics, Statistics and Probability (multivariate Calculus, Vector Spaces and Random Variables, Algebraic Probability Distribution)
hands On Experience in Building Ai Applications Using Deep Learning or Machine Learning Technqiues
hands On Experience in Python
unerstanding of Scikit-learn, Numpy, Pandas, Spacy, Gensim, Nltk
hands On Experience in Pytorch or Tensorflow
good Knowledge in Various Feature Engineering Tecnhqiues like Tf-idf, Cbow, Word Embeddings
good Understanding of fine Tuning the Network Models.
good Understanding of Supervised/unsupervised Learning.
knowledge of Reinforcement Learning is a Plus.
good Understanding of Machine Learing Algorithms like Svm, Knn, Random Forests, Regression and Clustering Methods."
Data Scientist,"Ahmedabad, Gujarat",R3coder,None,Organic,"Experience and Strong Understanding of Computer Vision and Image Processing is a Must.
hands On Experience On Medical Image Analysis is An Added Advantage.
very Strong Knowledge in Mathematics, Statistics and Probability (multivariate Calculus, Vector Spaces and Random Variables, Algebraic Probability Distribution)
hands On Experience in Building Ai Applications Using Deep Learning or Machine Learning Technqiues
hands On Experience in Python
unerstanding of Scikit-learn, Numpy, Pandas, Spacy, Gensim, Nltk
hands On Experience in Pytorch or Tensorflow
good Knowledge in Various Feature Engineering Tecnhqiues like Tf-idf, Cbow, Word Embeddings
good Understanding of fine Tuning the Network Models.
good Understanding of Supervised/unsupervised Learning.
knowledge of Reinforcement Learning is a Plus.
good Understanding of Machine Learing Algorithms like Svm, Knn, Random Forests, Regression and Clustering Methods."
Jr. Data Analyst,"Navi Mumbai, Maharashtra",Sciative Solutrions,None,Organic,"Experience and Strong Understanding of Computer Vision and Image Processing is a Must.
hands On Experience On Medical Image Analysis is An Added Advantage.
very Strong Knowledge in Mathematics, Statistics and Probability (multivariate Calculus, Vector Spaces and Random Variables, Algebraic Probability Distribution)
hands On Experience in Building Ai Applications Using Deep Learning or Machine Learning Technqiues
hands On Experience in Python
unerstanding of Scikit-learn, Numpy, Pandas, Spacy, Gensim, Nltk
hands On Experience in Pytorch or Tensorflow
good Knowledge in Various Feature Engineering Tecnhqiues like Tf-idf, Cbow, Word Embeddings
good Understanding of fine Tuning the Network Models.
good Understanding of Supervised/unsupervised Learning.
knowledge of Reinforcement Learning is a Plus.
good Understanding of Machine Learing Algorithms like Svm, Knn, Random Forests, Regression and Clustering Methods."
"Project Lead, Artificial Intelligence and Machine Learning","Mumbai, Maharashtra",World Economic Forum LLC,None,Organic,"Experience and Strong Understanding of Computer Vision and Image Processing is a Must.
hands On Experience On Medical Image Analysis is An Added Advantage.
very Strong Knowledge in Mathematics, Statistics and Probability (multivariate Calculus, Vector Spaces and Random Variables, Algebraic Probability Distribution)
hands On Experience in Building Ai Applications Using Deep Learning or Machine Learning Technqiues
hands On Experience in Python
unerstanding of Scikit-learn, Numpy, Pandas, Spacy, Gensim, Nltk
hands On Experience in Pytorch or Tensorflow
good Knowledge in Various Feature Engineering Tecnhqiues like Tf-idf, Cbow, Word Embeddings
good Understanding of fine Tuning the Network Models.
good Understanding of Supervised/unsupervised Learning.
knowledge of Reinforcement Learning is a Plus.
good Understanding of Machine Learing Algorithms like Svm, Knn, Random Forests, Regression and Clustering Methods."
Sr. Data Science Engineer,"Hyderabad, Telangana",Kani Solutions,None,Organic,"Experience and Strong Understanding of Computer Vision and Image Processing is a Must.
hands On Experience On Medical Image Analysis is An Added Advantage.
very Strong Knowledge in Mathematics, Statistics and Probability (multivariate Calculus, Vector Spaces and Random Variables, Algebraic Probability Distribution)
hands On Experience in Building Ai Applications Using Deep Learning or Machine Learning Technqiues
hands On Experience in Python
unerstanding of Scikit-learn, Numpy, Pandas, Spacy, Gensim, Nltk
hands On Experience in Pytorch or Tensorflow
good Knowledge in Various Feature Engineering Tecnhqiues like Tf-idf, Cbow, Word Embeddings
good Understanding of fine Tuning the Network Models.
good Understanding of Supervised/unsupervised Learning.
knowledge of Reinforcement Learning is a Plus.
good Understanding of Machine Learing Algorithms like Svm, Knn, Random Forests, Regression and Clustering Methods."
Artificial Intelligence & Machine Learning - Corporate train...,"Thiruvananthapuram, Kerala",Oracuz Info Tech Pvt Ltd,None,Organic,"Experience and Strong Understanding of Computer Vision and Image Processing is a Must.
hands On Experience On Medical Image Analysis is An Added Advantage.
very Strong Knowledge in Mathematics, Statistics and Probability (multivariate Calculus, Vector Spaces and Random Variables, Algebraic Probability Distribution)
hands On Experience in Building Ai Applications Using Deep Learning or Machine Learning Technqiues
hands On Experience in Python
unerstanding of Scikit-learn, Numpy, Pandas, Spacy, Gensim, Nltk
hands On Experience in Pytorch or Tensorflow
good Knowledge in Various Feature Engineering Tecnhqiues like Tf-idf, Cbow, Word Embeddings
good Understanding of fine Tuning the Network Models.
good Understanding of Supervised/unsupervised Learning.
knowledge of Reinforcement Learning is a Plus.
good Understanding of Machine Learing Algorithms like Svm, Knn, Random Forests, Regression and Clustering Methods."
Data Scientist,"Bengaluru, Karnataka",Zauba Corp,None,Organic,"Experience and Strong Understanding of Computer Vision and Image Processing is a Must.
hands On Experience On Medical Image Analysis is An Added Advantage.
very Strong Knowledge in Mathematics, Statistics and Probability (multivariate Calculus, Vector Spaces and Random Variables, Algebraic Probability Distribution)
hands On Experience in Building Ai Applications Using Deep Learning or Machine Learning Technqiues
hands On Experience in Python
unerstanding of Scikit-learn, Numpy, Pandas, Spacy, Gensim, Nltk
hands On Experience in Pytorch or Tensorflow
good Knowledge in Various Feature Engineering Tecnhqiues like Tf-idf, Cbow, Word Embeddings
good Understanding of fine Tuning the Network Models.
good Understanding of Supervised/unsupervised Learning.
knowledge of Reinforcement Learning is a Plus.
good Understanding of Machine Learing Algorithms like Svm, Knn, Random Forests, Regression and Clustering Methods."
